"","cattle","cattle and pig","pig"
"Amon et al. (2006)",8,0,0
"Anderson et al. (2023)",6,0,0
"Chantigny et al. (2007)",0,0,24
"Chantigny et al. (2009)",0,0,24
"Clemens et al. (2006)",16,0,0
"Hansen et al. (2004)",0,0,12
"Hjorth et al. (2009)",0,0,24
"Möller et al. (2009)",8,0,0
"Neerackal et al. (2015)",16,0,0
"Nyord et al. (2012)",0,0,8
"Pedersen et al. (2021)",12,0,0
"Perschke et al., in prep",16,0,0
"Rubæk et al. (1996)",16,16,0
"Sommer et al. (2006)",0,0,16
"Wagner et al. (2021)",12,0,0
"Wulf et al. (2002)",16,0,0
